[2024-12-13 17:44:23.819811] NIDS service started. Monitoring network traffic.
[2024-12-13 18:05:23.911542] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.917590] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.935470] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.941155] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.949001] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.983486] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.995912] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:24.002647] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:24.011962] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:24.020954] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.039519] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.042962] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.057094] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.060700] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.075885] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.080996] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.118688] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.128233] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.143040] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.149229] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:25.177296] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.185697] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.206547] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.219892] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.235122] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.265044] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.268082] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.307746] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.327371] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.340885] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.349624] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:26.357561] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.380608] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.390603] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.393521] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.414252] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.420288] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.431446] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.443791] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.457563] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.467620] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.472655] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:27.484939] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.505029] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.508898] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.512418] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.523567] [ALERT] Possible SSH brute-force from 172.22.0.1
